bc, 49, 193
iv, 51, 150
wd, 60, 163
ke, 99, 168
zi, 97, 198
lc, 76, 192
ie, 73, 178
xu, 97, 162
rd, 57, 182
zp, 40, 173
jb, 91, 171
rf, 71, 176
qu, 41, 167
ed, 83, 163
ga, 98, 168
tm, 65, 174
da, 52, 177
gl, 67, 162
ms, 90, 199
sj, 57, 181
ex, 76, 197
wk, 40, 189
af, 93, 157
va, 72, 178
me, 82, 195
ai, 40, 173
dn, 82, 140
vx, 73, 165
ci, 95, 185
qk, 59, 184
ff, 99, 156
zo, 44, 155
pf, 75, 180
qs, 74, 140
td, 90, 162
fc, 48, 156
sp, 42, 173
ry, 44, 184
xb, 75, 167
vy, 94, 157
he, 82, 160
sx, 60, 194
fg, 53, 194
od, 66, 154
ew, 76, 148
wq, 53, 148
yo, 89, 157
lo, 55, 167
lg, 45, 158
kt, 81, 142
ky, 54, 151
oc, 83, 197
ds, 82, 152
mv, 42, 158
tk, 43, 180
pk, 56, 149
wt, 90, 164
hm, 91, 198
wm, 71, 146
wn, 64, 178
do, 61, 141
oo, 93, 176
qm, 57, 184
fz, 61, 162
sm, 46, 160
bl, 76, 175
jk, 87, 196
pi, 47, 182
hk, 53, 184
yp, 69, 148
lx, 67, 168
cx, 50, 192
ej, 48, 142
mq, 79, 174
gs, 65, 170
yf, 95, 177
kt, 74, 196
wj, 85, 152
vc, 51, 140
ua, 64, 168
vj, 47, 177
gy, 78, 142
di, 76, 145
jl, 54, 187
se, 48, 174
rz, 50, 156
vg, 86, 182
ju, 42, 145
ms, 70, 162
ab, 42, 184
jb, 49, 195
in, 72, 181
ud, 97, 178
la, 43, 169
nn, 63, 188
hc, 72, 149
uc, 79, 179
cr, 72, 148
gj, 44, 197
ie, 81, 189
cj, 69, 171
sb, 52, 161
id, 66, 196
uc, 52, 144
fz, 55, 170
ie, 43, 151
eo, 55, 140
ia, 97, 175
yp, 61, 189
db, 47, 194
na, 41, 154
cu, 42, 180
wk, 93, 188
fb, 91, 193
ec, 79, 169
pn, 75, 180
hh, 80, 195
mo, 79, 186
ww, 95, 140
vp, 95, 166
xa, 40, 189
ui, 66, 173
wh, 93, 169
sv, 46, 195
cy, 50, 170
qy, 69, 191
vz, 98, 196
sq, 61, 158
wo, 46, 144
ry, 62, 141
uf, 87, 155
am, 87, 157
bv, 78, 162
lt, 50, 162
wl, 67, 178
bd, 88, 152
jc, 96, 176
br, 66, 156
do, 90, 164
dj, 64, 162
nr, 81, 180
hz, 44, 173
se, 82, 150
wq, 43, 185
on, 41, 153
bo, 85, 197
op, 82, 188
cw, 60, 156
lq, 78, 173
en, 97, 164
bm, 93, 176
uj, 44, 148
pn, 61, 151
kx, 61, 199
op, 95, 181
ie, 93, 193
eb, 92, 162
ks, 87, 170
el, 46, 142
nt, 84, 141
cl, 69, 148
le, 47, 153
cu, 66, 173
tr, 89, 164
nu, 92, 149
pf, 87, 143
lb, 73, 167
bf, 84, 169
dr, 42, 168
mh, 77, 160
uf, 78, 148
je, 49, 164
xm, 57, 163
qc, 56, 166
io, 71, 198
vv, 79, 183
cs, 48, 144
re, 83, 148
my, 94, 179
yp, 76, 195
ds, 70, 155
sw, 77, 172
dn, 78, 158
er, 89, 163
vs, 84, 151
uz, 41, 198
jo, 86, 198
ms, 85, 155
ve, 45, 191
pv, 58, 157
cv, 94, 184
vu, 41, 192
ne, 61, 176
ea, 52, 191
se, 77, 141
yk, 69, 162
mr, 63, 144
hp, 50, 190
fc, 69, 149
yr, 80, 176
db, 65, 142
ee, 46, 148
sv, 71, 175
ti, 52, 187
eh, 51, 199
ia, 56, 198
dw, 85, 144
hi, 76, 192
pr, 61, 187
al, 47, 170
dt, 79, 191
ma, 61, 189
cj, 61, 178
wl, 91, 149
ud, 81, 182
al, 46, 193
qd, 62, 150
sj, 43, 154
ho, 59, 173
wo, 96, 196
af, 62, 190
uc, 85, 145
ke, 86, 157
yf, 62, 195
uz, 46, 150
im, 96, 188
pb, 90, 184
ga, 74, 148
ky, 74, 147
